Datetime,Open,High,Low,Close,Adj Close,Volume
2024-09-11 03:10:00+00:00,2346.908935546875,2349.878173828125,2346.908935546875,2349.878173828125,2349.878173828125,3893248
2024-09-11 03:15:00+00:00,2349.766845703125,2349.766845703125,2347.716552734375,2347.716552734375,2347.716552734375,14166016
2024-09-11 03:20:00+00:00,2349.91748046875,2349.91748046875,2345.796875,2346.407470703125,2346.407470703125,2830336
2024-09-11 03:25:00+00:00,2345.582763671875,2346.458251953125,2344.818359375,2346.458251953125,2346.458251953125,5154816
2024-09-11 03:30:00+00:00,2347.930419921875,2348.733154296875,2347.88330078125,2348.733154296875,2348.733154296875,9873408
2024-09-11 03:35:00+00:00,2350.884765625,2351.585693359375,2349.257568359375,2349.257568359375,2349.257568359375,52805632
2024-09-11 03:40:00+00:00,2350.034912109375,2350.034912109375,2346.27783203125,2346.27783203125,2346.27783203125,9906176
2024-09-11 03:45:00+00:00,2346.651611328125,2348.43701171875,2346.651611328125,2347.677490234375,2347.677490234375,14891008
2024-09-11 03:50:00+00:00,2347.194580078125,2347.194580078125,2345.08154296875,2345.08154296875,2345.08154296875,9415680
2024-09-11 03:55:00+00:00,2345.376220703125,2347.565673828125,2345.376220703125,2347.565673828125,2347.565673828125,3708928
2024-09-11 04:00:00+00:00,2347.99609375,2347.99609375,2344.94189453125,2344.94189453125,2344.94189453125,0
2024-09-11 04:05:00+00:00,2343.791748046875,2343.8564453125,2341.581298828125,2341.581298828125,2341.581298828125,24877056
2024-09-11 04:10:00+00:00,2341.76513671875,2343.31689453125,2340.7294921875,2340.7294921875,2340.7294921875,17923072
2024-09-11 04:15:00+00:00,2340.562744140625,2340.562744140625,2328.666015625,2328.666015625,2328.666015625,12251136
2024-09-11 04:20:00+00:00,2331.806396484375,2337.427001953125,2331.16796875,2337.427001953125,2337.427001953125,69374976
2024-09-11 04:25:00+00:00,2337.88134765625,2337.88134765625,2334.709716796875,2335.059326171875,2335.059326171875,46702592
2024-09-11 04:30:00+00:00,2338.12060546875,2338.12060546875,2334.296875,2334.296875,2334.296875,20074496
2024-09-11 04:35:00+00:00,2333.47412109375,2333.47412109375,2331.191162109375,2331.284912109375,2331.284912109375,0
2024-09-11 04:40:00+00:00,2330.93310546875,2332.283203125,2328.00341796875,2328.00341796875,2328.00341796875,0
2024-09-11 04:45:00+00:00,2327.3056640625,2327.3056640625,2323.2080078125,2323.2080078125,2323.2080078125,17695744
2024-09-11 04:50:00+00:00,2322.5654296875,2330.79248046875,2322.5654296875,2330.79248046875,2330.79248046875,53829632
2024-09-11 04:55:00+00:00,2331.54443359375,2333.33251953125,2331.398193359375,2333.33251953125,2333.33251953125,36782080
2024-09-11 05:00:00+00:00,2333.37841796875,2333.8544921875,2332.27880859375,2332.27880859375,2332.27880859375,13935616
2024-09-11 05:05:00+00:00,2332.307861328125,2332.307861328125,2326.193603515625,2327.033447265625,2327.033447265625,0
